Code	Model	Species	Size	River	Model.type	Default	Sampled.season	Valid.season	Data.origin	N.presences	N.absences	N.interviews.or.studies	True.positive	False.positive	True.negative	False.negative	Sensitivity	Specificity	TSS	Balanced.accuracy
ABDRS	Luciobarbus.sclateri.HSC.Large.EKorL.Spring.Summer.Autumn	Luciobarbus sclateri	Large		HSC	FALSE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
ABDQZ	Luciobarbus.sclateri.HSC.Large.EKorL.Autumn.Winter.Spring	Luciobarbus sclateri	Large		HSC	FALSE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
ABDQU	Luciobarbus.sclateri.FRBS.Small.EKorL.Spring.Summer.Autumn	Luciobarbus sclateri	Small		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
ABDQT	Luciobarbus.sclateri.FRBS.Small.EKorL.Autumn.Winter.Spring	Luciobarbus sclateri	Small		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
ABDRW	Luciobarbus.sclateri.HSC.Small.EKorL.Spring.Summer.Autumn	Luciobarbus sclateri	Small		HSC	FALSE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
ABDRV	Luciobarbus.sclateri.HSC.Small.EKorL.Autumn.Winter.Spring	Luciobarbus sclateri	Small		HSC	FALSE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
ABDQV	Luciobarbus.sclateri.GAM.Large.Yeguas.All	Luciobarbus sclateri	Large	Yeguas (Guadalquivir)	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	24	702	NA	22	293	409	2	0.917	0.583	0.499	0.75
ABDRT	Luciobarbus.sclateri.HSC.Large.Yeguas.All	Luciobarbus sclateri	Large	Yeguas (Guadalquivir)	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	24	703	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABDRZ	Luciobarbus.sclateri.NNET.Large.Yeguas.All	Luciobarbus sclateri	Large	Yeguas (Guadalquivir)	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	24	702	NA	24	215	487	0	1	0.694	0.694	0.847
ABDSW	Luciobarbus.sclateri.RF.Large.Yeguas.All	Luciobarbus sclateri	Large	Yeguas (Guadalquivir)	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	24	702	NA	24	215	487	0	1	0.694	0.694	0.847
ABDTU	Luciobarbus.sclateri.SVM.Large.Yeguas.All	Luciobarbus sclateri	Large	Yeguas (Guadalquivir)	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	24	702	NA	18	134	568	6	0.75	0.809	0.559	0.78
ABDQW	Luciobarbus.sclateri.GAM.Medium.Yeguas.All	Luciobarbus sclateri	Medium	Yeguas (Guadalquivir)	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	96	630	NA	86	173	457	10	0.896	0.725	0.621	0.811
ABDRU	Luciobarbus.sclateri.HSC.Medium.Yeguas.All	Luciobarbus sclateri	Medium	Yeguas (Guadalquivir)	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	96	631	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABDST	Luciobarbus.sclateri.NNET.Medium.Yeguas.All	Luciobarbus sclateri	Medium	Yeguas (Guadalquivir)	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	96	630	NA	89	178	452	7	0.927	0.717	0.645	0.822
ABDSX	Luciobarbus.sclateri.RF.Medium.Yeguas.All	Luciobarbus sclateri	Medium	Yeguas (Guadalquivir)	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	96	630	NA	89	178	452	7	0.927	0.717	0.645	0.822
ABDTV	Luciobarbus.sclateri.SVM.Medium.Yeguas.All	Luciobarbus sclateri	Medium	Yeguas (Guadalquivir)	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	96	630	NA	78	124	506	18	0.813	0.803	0.616	0.808
ABDQX	Luciobarbus.sclateri.GAM.Small.Yeguas.All	Luciobarbus sclateri	Small	Yeguas (Guadalquivir)	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	79	647	NA	68	207	440	11	0.861	0.68	0.541	0.77
ABDRX	Luciobarbus.sclateri.HSC.Small.Yeguas.All	Luciobarbus sclateri	Small	Yeguas (Guadalquivir)	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	80	647	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABDSU	Luciobarbus.sclateri.NNET.Small.Yeguas.All	Luciobarbus sclateri	Small	Yeguas (Guadalquivir)	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	79	647	NA	70	178	469	9	0.886	0.725	0.611	0.805
ABDSY	Luciobarbus.sclateri.RF.Small.Yeguas.All	Luciobarbus sclateri	Small	Yeguas (Guadalquivir)	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	79	647	NA	70	178	469	9	0.886	0.725	0.611	0.805
ABDTW	Luciobarbus.sclateri.SVM.Small.Yeguas.All	Luciobarbus sclateri	Small	Yeguas (Guadalquivir)	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	79	647	NA	58	204	443	21	0.734	0.685	0.419	0.709
ABDQY	Luciobarbus.sclateri.GAM.Very.small.Yeguas.All	Luciobarbus sclateri	Very small	Yeguas (Guadalquivir)	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	67	659	NA	61	343	316	6	0.91	0.48	0.39	0.695
ABDRY	Luciobarbus.sclateri.HSC.Very.small.Yeguas.All	Luciobarbus sclateri	Very small	Yeguas (Guadalquivir)	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	67	660	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABDSV	Luciobarbus.sclateri.NNET.Very.small.Yeguas.All	Luciobarbus sclateri	Very small	Yeguas (Guadalquivir)	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	67	659	NA	66	268	391	1	0.985	0.593	0.578	0.789
ABDSZ	Luciobarbus.sclateri.RF.Very.small.Yeguas.All	Luciobarbus sclateri	Very small	Yeguas (Guadalquivir)	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	67	659	NA	66	268	391	1	0.985	0.593	0.578	0.789
ABDTX	Luciobarbus.sclateri.SVM.Very.small.Yeguas.All	Luciobarbus sclateri	Very small	Yeguas (Guadalquivir)	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	67	659	NA	55	221	438	12	0.821	0.665	0.486	0.743
ABDTZ	Parachondrostoma.arrigonis.FRBS.Large.EKorL.Spring.Summer.Autumn	Parachondrostoma arrigonis	Large		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABDTY	Parachondrostoma.arrigonis.FRBS.Large.EKorL.Autumn.Winter.Spring	Parachondrostoma arrigonis	Large		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABDUX	Parachondrostoma.arrigonis.HSC.Large.EKorL.All	Parachondrostoma arrigonis	Large	Cabriel (Jucar)	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Literature review	83	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABDUZ	Parachondrostoma.arrigonis.HSC.Large.EKorL.Spring.Summer.Autumn	Parachondrostoma arrigonis	Large		HSC	FALSE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABDUY	Parachondrostoma.arrigonis.HSC.Large.EKorL.Autumn.Winter.Spring	Parachondrostoma arrigonis	Large		HSC	FALSE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABDUW	Parachondrostoma.arrigonis.FRBS.Small.EKorL.Spring.Summer.Autumn	Parachondrostoma arrigonis	Small		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABDUV	Parachondrostoma.arrigonis.FRBS.Small.EKorL.Autumn.Winter.Spring	Parachondrostoma arrigonis	Small		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABDVW	Parachondrostoma.arrigonis.HSC.Small.EKorL.All	Parachondrostoma arrigonis	Small	Cabriel (Jucar)	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Literature review	44	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABDVY	Parachondrostoma.arrigonis.HSC.Small.EKorL.Spring.Summer.Autumn	Parachondrostoma arrigonis	Small		HSC	FALSE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABDVX	Parachondrostoma.arrigonis.HSC.Small.EKorL.Autumn.Winter.Spring	Parachondrostoma arrigonis	Small		HSC	FALSE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABDXY	Parachondrostoma.miegii.GAM.Large.Ebro.All	Parachondrostoma miegii	Large	Ebro	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	329	561	NA	259	169	392	70	0.787	0.699	0.486	0.743
ABEFH	Parachondrostoma.miegii.HSC.Large.Ebro.All	Parachondrostoma miegii	Large	Ebro	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	330	563	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEFP	Parachondrostoma.miegii.NNET.Large.Ebro.All	Parachondrostoma miegii	Large	Ebro	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	329	561	NA	284	205	356	45	0.863	0.635	0.498	0.749
ABEFT	Parachondrostoma.miegii.RF.Large.Ebro.All	Parachondrostoma miegii	Large	Ebro	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	329	561	NA	284	205	356	45	0.863	0.635	0.498	0.749
ABEFX	Parachondrostoma.miegii.SVM.Large.Ebro.All	Parachondrostoma miegii	Large	Ebro	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	329	561	NA	248	158	403	81	0.754	0.718	0.472	0.736
ABDXZ	Parachondrostoma.miegii.GAM.Medium.Ebro.All	Parachondrostoma miegii	Medium	Ebro	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	369	521	NA	287	233	288	82	0.778	0.553	0.331	0.665
ABEFK	Parachondrostoma.miegii.HSC.Medium.Ebro.All	Parachondrostoma miegii	Medium	Ebro	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	371	522	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEFQ	Parachondrostoma.miegii.NNET.Medium.Ebro.All	Parachondrostoma miegii	Medium	Ebro	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	369	521	NA	284	199	322	85	0.77	0.618	0.388	0.694
ABEFU	Parachondrostoma.miegii.RF.Medium.Ebro.All	Parachondrostoma miegii	Medium	Ebro	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	369	521	NA	284	199	322	85	0.77	0.618	0.388	0.694
ABEFY	Parachondrostoma.miegii.SVM.Medium.Ebro.All	Parachondrostoma miegii	Medium	Ebro	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	369	521	NA	261	214	307	108	0.707	0.589	0.297	0.648
ABDYZ	Parachondrostoma.miegii.GAM.Small.Ebro.All	Parachondrostoma miegii	Small	Ebro	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	420	470	NA	329	261	209	91	0.783	0.445	0.228	0.614
ABEFL	Parachondrostoma.miegii.HSC.Small.Ebro.All	Parachondrostoma miegii	Small	Ebro	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	423	470	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEFR	Parachondrostoma.miegii.NNET.Small.Ebro.All	Parachondrostoma miegii	Small	Ebro	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	420	470	NA	316	210	260	104	0.752	0.553	0.306	0.653
ABEFV	Parachondrostoma.miegii.RF.Small.Ebro.All	Parachondrostoma miegii	Small	Ebro	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	420	470	NA	316	210	260	104	0.752	0.553	0.306	0.653
ABEFZ	Parachondrostoma.miegii.SVM.Small.Ebro.All	Parachondrostoma miegii	Small	Ebro	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	420	470	NA	288	206	264	132	0.686	0.562	0.247	0.624
ABEFG	Parachondrostoma.miegii.GAM.Very.small.Ebro.All	Parachondrostoma miegii	Very small	Ebro	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	87	803	NA	77	262	541	10	0.885	0.674	0.559	0.779
ABEFO	Parachondrostoma.miegii.HSC.Very.small.Ebro.All	Parachondrostoma miegii	Very small	Ebro	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	87	806	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEFS	Parachondrostoma.miegii.NNET.Very.small.Ebro.All	Parachondrostoma miegii	Very small	Ebro	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	87	803	NA	86	375	428	1	0.989	0.533	0.522	0.761
ABEFW	Parachondrostoma.miegii.RF.Very.small.Ebro.All	Parachondrostoma miegii	Very small	Ebro	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	87	803	NA	86	375	428	1	0.989	0.533	0.522	0.761
ABEGH	Parachondrostoma.miegii.SVM.Very.small.Ebro.All	Parachondrostoma miegii	Very small	Ebro	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	87	803	NA	82	203	600	5	0.943	0.747	0.69	0.845
ABDWX	Parachondrostoma.miegii.FRBS.Large.EKorL.Spring.Summer.Autumn	Parachondrostoma miegii	Large		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA
ABDVZ	Parachondrostoma.miegii.FRBS.Large.EKorL.Autumn.Winter.Spring	Parachondrostoma miegii	Large		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA
ABEFJ	Parachondrostoma.miegii.HSC.Large.EKorL.Spring.Summer.Autumn	Parachondrostoma miegii	Large		HSC	FALSE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA
ABEFI	Parachondrostoma.miegii.HSC.Large.EKorL.Autumn.Winter.Spring	Parachondrostoma miegii	Large		HSC	FALSE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA
ABDWZ	Parachondrostoma.miegii.FRBS.Small.EKorL.Spring.Summer.Autumn	Parachondrostoma miegii	Small		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA
ABDWY	Parachondrostoma.miegii.FRBS.Small.EKorL.Autumn.Winter.Spring	Parachondrostoma miegii	Small		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA
ABEFN	Parachondrostoma.miegii.HSC.Small.EKorL.Spring.Summer.Autumn	Parachondrostoma miegii	Small		HSC	FALSE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA
ABEFM	Parachondrostoma.miegii.HSC.Small.EKorL.Autumn.Winter.Spring	Parachondrostoma miegii	Small		HSC	FALSE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA
ABEGM	Phoxinus.bigerri.GAM.Large.Ebro.All	Phoxinus bigerri	Large	Ebro	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	174	716	NA	146	335	381	28	0.839	0.532	0.371	0.686
ABEGQ	Phoxinus.bigerri.HSC.Large.Ebro.All	Phoxinus bigerri	Large	Ebro	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	174	719	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEGY	Phoxinus.bigerri.NNET.Large.Ebro.All	Phoxinus bigerri	Large	Ebro	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	174	716	NA	142	305	411	32	0.816	0.574	0.39	0.695
ABEHK	Phoxinus.bigerri.RF.Large.Ebro.All	Phoxinus bigerri	Large	Ebro	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	174	716	NA	142	305	411	32	0.816	0.574	0.39	0.695
ABEHO	Phoxinus.bigerri.SVM.Large.Ebro.All	Phoxinus bigerri	Large	Ebro	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	174	716	NA	142	309	407	32	0.816	0.568	0.385	0.692
ABEGN	Phoxinus.bigerri.GAM.Medium.Ebro.All	Phoxinus bigerri	Medium	Ebro	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	326	564	NA	257	215	349	69	0.788	0.619	0.407	0.704
ABEGT	Phoxinus.bigerri.HSC.Medium.Ebro.All	Phoxinus bigerri	Medium	Ebro	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	326	567	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEGZ	Phoxinus.bigerri.NNET.Medium.Ebro.All	Phoxinus bigerri	Medium	Ebro	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	326	564	NA	278	228	336	48	0.853	0.596	0.449	0.724
ABEHL	Phoxinus.bigerri.RF.Medium.Ebro.All	Phoxinus bigerri	Medium	Ebro	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	326	564	NA	278	228	336	48	0.853	0.596	0.449	0.724
ABEHP	Phoxinus.bigerri.SVM.Medium.Ebro.All	Phoxinus bigerri	Medium	Ebro	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	326	564	NA	245	183	381	81	0.752	0.676	0.427	0.714
ABEGO	Phoxinus.bigerri.GAM.Small.Ebro.All	Phoxinus bigerri	Small	Ebro	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	284	606	NA	231	233	373	53	0.813	0.616	0.429	0.714
ABEGU	Phoxinus.bigerri.HSC.Small.Ebro.All	Phoxinus bigerri	Small	Ebro	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	285	608	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEHI	Phoxinus.bigerri.NNET.Small.Ebro.All	Phoxinus bigerri	Small	Ebro	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	284	606	NA	241	235	371	43	0.849	0.612	0.461	0.73
ABEHM	Phoxinus.bigerri.RF.Small.Ebro.All	Phoxinus bigerri	Small	Ebro	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	284	606	NA	241	235	371	43	0.849	0.612	0.461	0.73
ABEHQ	Phoxinus.bigerri.SVM.Small.Ebro.All	Phoxinus bigerri	Small	Ebro	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	284	606	NA	222	225	381	62	0.782	0.629	0.41	0.705
ABEGP	Phoxinus.bigerri.GAM.Very.small.Ebro.All	Phoxinus bigerri	Very small	Ebro	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	97	793	NA	84	182	611	13	0.866	0.77	0.636	0.818
ABEGX	Phoxinus.bigerri.HSC.Very.small.Ebro.All	Phoxinus bigerri	Very small	Ebro	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	98	795	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEHJ	Phoxinus.bigerri.NNET.Very.small.Ebro.All	Phoxinus bigerri	Very small	Ebro	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	97	793	NA	87	198	595	10	0.897	0.75	0.647	0.824
ABEHN	Phoxinus.bigerri.RF.Very.small.Ebro.All	Phoxinus bigerri	Very small	Ebro	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	97	793	NA	87	198	595	10	0.897	0.75	0.647	0.824
ABEHR	Phoxinus.bigerri.SVM.Very.small.Ebro.All	Phoxinus bigerri	Very small	Ebro	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	97	793	NA	87	157	636	10	0.897	0.802	0.699	0.849
ABEGJ	Phoxinus.bigerri.FRBS.Large.EKorL.Spring.Summer.Autumn	Phoxinus bigerri	Large		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
ABEGI	Phoxinus.bigerri.FRBS.Large.EKorL.Autumn.Winter.Spring	Phoxinus bigerri	Large		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
ABEGS	Phoxinus.bigerri.HSC.Large.EKorL.Spring.Summer.Autumn	Phoxinus bigerri	Large		HSC	FALSE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
ABEGR	Phoxinus.bigerri.HSC.Large.EKorL.Autumn.Winter.Spring	Phoxinus bigerri	Large		HSC	FALSE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
ABEGL	Phoxinus.bigerri.FRBS.Small.EKorL.Spring.Summer.Autumn	Phoxinus bigerri	Small		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
ABEGK	Phoxinus.bigerri.FRBS.Small.EKorL.Autumn.Winter.Spring	Phoxinus bigerri	Small		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
ABEGW	Phoxinus.bigerri.HSC.Small.EKorL.Spring.Summer.Autumn	Phoxinus bigerri	Small		HSC	FALSE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
ABEGV	Phoxinus.bigerri.HSC.Small.EKorL.Autumn.Winter.Spring	Phoxinus bigerri	Small		HSC	FALSE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
ABEHT	Pseudochondrostoma.duriense.FRBS.Large.EKorL.Spring.Summer.Autumn	Pseudochondrostoma duriense	Large		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEHS	Pseudochondrostoma.duriense.FRBS.Large.EKorL.Autumn.Winter.Spring	Pseudochondrostoma duriense	Large		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEHX	Pseudochondrostoma.duriense.HSC.Large.EKorL.Spring.Summer.Autumn	Pseudochondrostoma duriense	Large		HSC	FALSE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEHW	Pseudochondrostoma.duriense.HSC.Large.EKorL.Autumn.Winter.Spring	Pseudochondrostoma duriense	Large		HSC	FALSE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEHV	Pseudochondrostoma.duriense.FRBS.Small.EKorL.Spring.Summer.Autumn	Pseudochondrostoma duriense	Small		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEHU	Pseudochondrostoma.duriense.FRBS.Small.EKorL.Autumn.Winter.Spring	Pseudochondrostoma duriense	Small		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEIK	Pseudochondrostoma.duriense.HSC.Small.EKorL.Spring.Summer.Autumn	Pseudochondrostoma duriense	Small		HSC	FALSE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEIJ	Pseudochondrostoma.duriense.HSC.Small.EKorL.Autumn.Winter.Spring	Pseudochondrostoma duriense	Small		HSC	FALSE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEHZ	Pseudochondrostoma.duriense.HSC.Large.Lima.Winter.Spring	Pseudochondrostoma duriense	Large	Lima	HSC	TRUE	"Winter; Spring"	"Winter; Spring"	Field survey	41	113	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEHY	Pseudochondrostoma.duriense.HSC.Large.Lima.Summer.Autumn	Pseudochondrostoma duriense	Large	Lima	HSC	TRUE	"Summer; Autumn"	"Summer; Autumn"	Field survey	42	90	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEIM	Pseudochondrostoma.duriense.HSC.Small.Lima.Winter.Spring	Pseudochondrostoma duriense	Small	Lima	HSC	TRUE	"Winter; Spring"	"Winter; Spring"	Field survey	31	113	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEIL	Pseudochondrostoma.duriense.HSC.Small.Lima.Summer.Autumn	Pseudochondrostoma duriense	Small	Lima	HSC	TRUE	"Summer; Autumn"	"Summer; Autumn"	Field survey	96	90	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEIO	Pseudochondrostoma.polylepis.FRBS.Large.EKorL.Spring.Summer.Autumn	Pseudochondrostoma polylepis	Large		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEIN	Pseudochondrostoma.polylepis.FRBS.Large.EKorL.Autumn.Winter.Spring	Pseudochondrostoma polylepis	Large		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEIV	Pseudochondrostoma.polylepis.HSC.Large.EKorL.Spring.Summer.Autumn	Pseudochondrostoma polylepis	Large		HSC	FALSE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEIU	Pseudochondrostoma.polylepis.HSC.Large.EKorL.Autumn.Winter.Spring	Pseudochondrostoma polylepis	Large		HSC	FALSE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEIQ	Pseudochondrostoma.polylepis.FRBS.Small.EKorL.Spring.Summer.Autumn	Pseudochondrostoma polylepis	Small		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEIP	Pseudochondrostoma.polylepis.FRBS.Small.EKorL.Autumn.Winter.Spring	Pseudochondrostoma polylepis	Small		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
